# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1786
#@/user_id	Alienware Area51 R5
a 	啊	c=12 d=4.53415 t=1786
qi yi 	奇異	c=1 d=0.995012 t=1786
qi zhong 	其中	c=1 d=0.000343955 t=1786
qian 	前	c=1 d=0.159614 t=1786
qiang 	牆	c=0 d=0.0360595 t=1786
qie huan 	切換	c=12 d=6.73883 t=1786
qing 	請	c=1 d=0.496585 t=1786
qing kong 	清空	c=1 d=0.302704 t=1786
qing kuang 	情況	c=2 d=1.49887 t=1786
qing kuang xia 	情況下	c=0 d=0.0715338 t=1786
qing wen 	請問	c=3 d=1.32782 t=1786
qu 	去	c=3 d=0.457915 t=1786
qu diao 	去掉	c=1 d=0.960789 t=1786
quan 	全	c=1 d=0.108609 t=1786
quan 	圈	c=1 d=0.904837 t=1786
quan 	權	c=1 d=0.900325 t=1786
quan quan 	圈圈	c=1 d=0.873716 t=1786
que ding 	確定	c=1 d=0.57695 t=1786
ran hou 	然後	c=6 d=2.41371 t=1786
rang 	讓	c=1 d=0.100761 t=1786
rang ni 	讓你	c=0 d=0.0941765 t=1786
rang ni he 	讓你和	c=1 d=0.946485 t=1786
rao rao 	擾擾	c=0 d=0.0126186 t=1786
ren 	人	c=7 d=0.426031 t=1786
ren jia 	人家	c=1 d=0.0968105 t=1786
ren men 	人們	c=1 d=0.737123 t=1786
ren min 	人民	c=2 d=0.946377 t=1786
ren min zi di bing 	人民子弟兵	c=1 d=0.97531 t=1786
ren sheng 	人生	c=1 d=0.0490458 t=1786
ren wei 	認爲	c=1 d=0.0695994 t=1786
ri ben 	日本	c=1 d=0.960789 t=1786
rong yi 	容易	c=3 d=0.99398 t=1786
ru 	如	c=1 d=0.644036 t=1786
ru guo 	如果	c=7 d=1.24609 t=1786
ru he 	如何	c=8 d=3.79108 t=1786
ru xia 	如下	c=1 d=0.000363402 t=1786
ruan jian 	軟件	c=1 d=0.802519 t=1786
ruan ti 	軟體	c=1 d=0.103312 t=1786
sa ga 	薩嘎	c=1 d=0.65377 t=1786
san lu 	三路	c=1 d=0.985112 t=1786
san qing shan 	三清山	c=1 d=0.232236 t=1786
sao 	騷	c=1 d=0.774916 t=1786
shan chu 	刪除	c=2 d=0.543905 t=1786
shang 	上	c=0 d=0.0744532 t=1786
shang ci 	上次	c=2 d=0.37023 t=1786
shang mian 	上面	c=2 d=1.03553 t=1786
shang qi 	上汽	c=0 d=0.0818731 t=1786
shang qi tong yong 	上汽通用	c=2 d=1.64979 t=1786
shao deng 	稍等	c=1 d=0.501576 t=1786
she hui 	社會	c=1 d=0.909373 t=1786
she zhi 	設置	c=15 d=4.89329 t=1786
shen me 	什麼	c=13 d=2.9104 t=1786
shen me bing 	什麼病	c=1 d=0.600496 t=1786
shen me shi 	什麼是	c=1 d=0.481909 t=1786
shi 	是	c=29 d=5.70423 t=1786
shi 	時	c=3 d=0.545918 t=1786
shi bai 	失敗	c=1 d=0.0495388 t=1786
shi bie 	識別	c=2 d=1.20936 t=1786
shi bie fang an 	識別方案	c=1 d=0.00037447 t=1786
shi bu shi 	是不是	c=2 d=0.491644 t=1786
shi de 	使得	c=1 d=0.904837 t=1786
shi fou 	是否	c=2 d=0.970446 t=1786
shi hou 	時候	c=1 d=0.392586 t=1786
shi hua 	實話	c=1 d=0.0216013 t=1786
shi ji 	實際	c=1 d=0.0471227 t=1786
shi jian 	時間	c=1 d=0.346456 t=1786
shi jie 	世界	c=1 d=0.0223708 t=1786
shi jie mo ri 	世界末日	c=1 d=0.386741 t=1786
shi li 	實力	c=0 d=0.083527 t=1786
shi na ge 	是哪個	c=1 d=0.704688 t=1786
shi qing 	實情	c=0 d=0.026054 t=1786
shi shi 	實施	c=4 d=0.762787 t=1786
shi shi 	試試	c=1 d=0.582748 t=1786
shi shi zai 	是實在	c=1 d=0.71177 t=1786
shi xian 	實現	c=10 d=3.69438 t=1786
shi yong 	使用	c=5 d=3.41659 t=1786
shi zai 	實在	c=1 d=0.657047 t=1786
shou dao 	收到	c=2 d=0.243892 t=1786
shou dong 	手動	c=1 d=0.331211 t=1786
shou er 	首爾	c=1 d=0.970446 t=1786
shou gou 	收購	c=1 d=0.557106 t=1786
shou ji 	手機	c=1 d=0.970446 t=1786
shu 	書	c=1 d=0.0561348 t=1786
shu chu 	輸出	c=1 d=0.0468877 t=1786
shu ju 	數據	c=1 d=0.99005 t=1786
shu ru 	輸入	c=47 d=14.9731 t=1786
shu ru fa 	輸入法	c=6 d=3.22637 t=1786
shu shu 	叔叔	c=0 d=0.00561348 t=1786
shu shu na 	叔叔那	c=1 d=0.0564161 t=1786
shu zi 	數字	c=0 d=2.93099e-05 t=1786
shu zi ce shi 	數字測試	c=1 d=0.000294568 t=1786
shuang 	爽	c=1 d=0.677057 t=1786
shuang quan 	雙全	c=1 d=0.112478 t=1786
shuo 	說	c=3 d=0.768813 t=1786
shuo fa 	說法	c=1 d=0.000335462 t=1786
shuo ming 	說明	c=2 d=0.585092 t=1786
si 	死	c=1 d=0.289383 t=1786
si kao 	思考	c=1 d=0.0488012 t=1786
si ma qian 	司馬遷	c=1 d=0.752014 t=1786
suo 	所	c=1 d=0.19398 t=1786
ta 	他	c=1 d=0.101266 t=1786
ta 	塔	c=1 d=0.960789 t=1786
ta 	它	c=1 d=0.189191 t=1786
ta men 	他們	c=2 d=0.922255 t=1786
tai 	臺	c=1 d=0.209088 t=1786
tai duo 	太多	c=1 d=0.609571 t=1786
tai hao 	太好	c=0 d=0.066034 t=1786
tai hao yong 	太好用	c=1 d=0.66365 t=1786
tai leng 	太冷	c=1 d=0.377192 t=1786
tai man 	太慢	c=1 d=0.229925 t=1786
tai tou 	擡頭	c=1 d=0.253955 t=1786
tai yang 	太陽	c=1 d=0.0459593 t=1786
te shu 	特殊	c=1 d=0.394554 t=1786
ti dai 	替代	c=1 d=0.628135 t=1786
ti jiao 	提交	c=3 d=2.0353 t=1786
ti shi 	提示	c=2 d=0.863529 t=1786
ti yan 	體驗	c=2 d=1.82522 t=1786
ti yan shang 	體驗上	c=1 d=0.748264 t=1786
ti zhe 	提着	c=1 d=0.0972957 t=1786
tian 	天	c=1 d=0.172045 t=1786
tian jin 	天津	c=4 d=3.96032 t=1786
tian tian 	天天	c=1 d=0.980199 t=1786
tian zhi dao 	天知道	c=1 d=0.158025 t=1786
ting hao 	挺好	c=1 d=0.516851 t=1786
tong 	同	c=1 d=1 t=1786
tong shi 	同時	c=2 d=0.879104 t=1786
tong xun 	通訊	c=0 d=0.099005 t=1786
tong xun duan kou 	通訊端口	c=1 d=0.995012 t=1786
tong yong 	通用	c=0 d=0.0818731 t=1786
tou ming 	透明	c=1 d=0.857531 t=1786
tou ming xiao guo 	透明效果	c=1 d=0.752014 t=1786
tu 	圖	c=1 d=0.474734 t=1786
tu fa 	突發	c=1 d=0.806541 t=1786
tu fu 	屠夫	c=1 d=0.810584 t=1786
wai xing ren 	外星人	c=1 d=0.960789 t=1786
wan cheng 	完成	c=2 d=0.313097 t=1786
wan shang 	晚上	c=1 d=0.650509 t=1786
wang 	王	c=2 d=0.322054 t=1786
wang qian 	王倩	c=3 d=2.50339 t=1786
wang yi 	網易	c=1 d=0.0478349 t=1786
wang zhan 	網站	c=1 d=0.786628 t=1786
wei 	爲	c=3 d=1.09264 t=1786
wei le 	爲了	c=1 d=0.12938 t=1786
wei shen me 	爲什麼	c=2 d=1.09885 t=1786
wei xian 	危險	c=1 d=0.438235 t=1786
wei xiao 	☺️	c=1 d=0.806541 t=1786
wei xiao 	🙂️	c=2 d=1.75839 t=1786
wei xin 	微信	c=1 d=0.1764 t=1786
wen 	問	c=1 d=0.0867261 t=1786
wen 	文	c=1 d=0.980199 t=1786
wen ben 	文本	c=0 d=3.7447e-05 t=1786
wen dang 	文檔	c=4 d=1.90631 t=1786
wen hua 	文化	c=1 d=0.106459 t=1786
wen jian 	文件	c=1 d=0.222017 t=1786
wen ming 	文明	c=1 d=0.111359 t=1786
wen ti 	問題	c=9 d=2.77328 t=1786
wen wu 	文武	c=1 d=0.111917 t=1786
wo 	我	c=22 d=5.04887 t=1786
wo men 	我們	c=5 d=2.38723 t=1786
wo men shi 	我們是	c=2 d=0.815176 t=1786
wu 	乄	c=2 d=1.99501 t=1786
wu fa 	無法	c=2 d=0.759572 t=1786
wu hui 	誤會	c=2 d=0.333138 t=1786
wu lun 	無論	c=1 d=0.133989 t=1786
wu suo wei 	無所謂	c=2 d=0.510482 t=1786
xi huan 	喜歡	c=1 d=0.339596 t=1786
xi tong 	系統	c=3 d=1.0192 t=1786
xia 	下	c=6 d=2.88282 t=1786
xia cai 	瞎猜	c=1 d=0.364219 t=1786
xia jiang 	下降	c=2 d=1.24379 t=1786
xia mian 	下面	c=1 d=0.402524 t=1786
xia si 	嚇死	c=2 d=0.652038 t=1786
xia zai 	下載	c=1 d=0.0507928 t=1786
xian 	先	c=4 d=1.34039 t=1786
xian cheng 	線程	c=1 d=0.680451 t=1786
xian shi 	顯示	c=1 d=0.263158 t=1786
xian zai 	現在	c=3 d=0.899575 t=1786
xiang dao 	想到	c=1 d=0.349938 t=1786
xiang guan 	相關	c=1 d=0.535261 t=1786
xiang xin 	相信	c=1 d=0.1764 t=1786
xiang yi xiang 	想一想	c=1 d=0.0958472 t=1786
xiao 	小	c=7 d=2.67621 t=1786
xiao guo 	效果	c=4 d=3.07731 t=1786
xiao lang 	小狼	c=1 d=0.0710054 t=1786
xiao lang hao 	小狼毫	c=2 d=1.89413 t=1786
xiao shi 	小時	c=1 d=0.289384 t=1786
xie 	些	c=1 d=0.909373 t=1786
xie lou 	泄漏	c=0 d=0.0927743 t=1786
xie zai 	卸載	c=2 d=0.102115 t=1786
xin 	新	c=1 d=0.503527 t=1786
xin guan fei yan 	新冠肺炎	c=4 d=3.49073 t=1786
xin hao 	信號	c=1 d=0.891366 t=1786
xin wen 	新聞	c=2 d=1.53829 t=1786
xin xi 	信息	c=3 d=1.33957 t=1786
xing hao 	型號	c=1 d=0.489192 t=1786
xing neng 	性能	c=0 d=0.0718924 t=1786
xiu gai 	修改	c=2 d=0.246776 t=1786
xu 	須	c=3 d=1.72495 t=1786
xu bei 	徐蓓	c=3 d=2.48705 t=1786
xu yao 	需要	c=2 d=0.651672 t=1786
xuan 	選	c=2 d=1.71777 t=1786
xuan bu 	宣佈	c=1 d=0.862962 t=1786
xuan ze 	選擇	c=1 d=0.740818 t=1786
xue xi 	學習	c=1 d=0.105928 t=1786
yan an xi lu 	延安西路	c=1 d=0.852144 t=1786
yan feng 	延鋒	c=1 d=0.923821 t=1786
yan feng zhi neng 	延鋒智能	c=1 d=0.847894 t=1786
yan jiu 	研究	c=2 d=1.25942 t=1786
yan shi 	演示	c=1 d=0.264477 t=1786
yan zhong 	嚴重	c=1 d=0.882497 t=1786
yang 	楊	c=1 d=0.109701 t=1786
yang ben 	樣本	c=0 d=3.76346e-05 t=1786
yao 	要	c=5 d=1.5953 t=1786
yao shuo 	要說	c=1 d=0.102284 t=1786
yao zhui 	腰椎	c=1 d=0.666977 t=1786
ye 	也	c=5 d=0.570915 t=1786
ye lai feng yu sheng 	夜來風雨聲	c=1 d=0.97531 t=1786
ye mian 	頁面	c=1 d=0.941765 t=1786
ye shi 	也是	c=1 d=0.847894 t=1786
ye xu 	也許	c=5 d=1.2047 t=1786
yi ban 	一般	c=1 d=0.0939493 t=1786
yi bao 	一包	c=1 d=0.10383 t=1786
yi chu 	移除	c=2 d=0.391904 t=1786
yi dong 	移動	c=1 d=0.932394 t=1786
yi dui 	一堆	c=1 d=0.143704 t=1786
yi ge 	一個	c=5 d=0.882497 t=1786
yi jing 	已經	c=2 d=0.864299 t=1786
yi liu 	一流	c=1 d=0.951229 t=1786
yi qi 	一起	c=2 d=1.10076 t=1786
yi qi da zhong 	一汽大衆	c=1 d=0.856415 t=1786
yi qian 	以前	c=1 d=0.110251 t=1786
yi qie 	一切	c=5 d=1.55316 t=1786
yi ru ji wang 	一如既往	c=1 d=0.715338 t=1786
yi sheng 	一生	c=1 d=0.150318 t=1786
yi ta hu tu 	一塌糊塗	c=1 d=0.128093 t=1786
yi tian 	一天	c=2 d=0.460586 t=1786
yi wei 	一味	c=0 d=0.0358796 t=1786
yi wei 	以爲	c=1 d=0.161218 t=1786
yi wei di 	一味地	c=1 d=0.360595 t=1786
yi xia 	以下	c=2 d=0.917963 t=1786
yi yang 	一樣	c=3 d=1.10479 t=1786
yi zhi 	一直	c=1 d=0.918512 t=1786
yi zhi kai zhe chuang kou 	一直開着窗口	c=1 d=0.371577 t=1786
ying gai 	應該	c=3 d=0.981125 t=1786
ying wen 	英文	c=6 d=2.91039 t=1786
ying yong 	應用	c=2 d=0.965605 t=1786
yong 	用	c=10 d=3.98745 t=1786
yong guo 	用過	c=1 d=0.301194 t=1786
yong yu 	用於	c=1 d=0.348192 t=1786
yong yuan 	永遠	c=3 d=1.07457 t=1786
yong yuan shi 	永遠是	c=1 d=0.759572 t=1786
you 	有	c=14 d=3.41404 t=1786
you bian 	右邊	c=2 d=1.31739 t=1786
you jian 	郵件	c=1 d=0.172907 t=1786
you ren 	有人	c=1 d=0.255381 t=1786
you shi jian 	有時間	c=1 d=0.621885 t=1786
you wang 	有望	c=1 d=0.913931 t=1786
you xi 	遊戲	c=1 d=0.792386 t=1786
you xi li mian 	遊戲裏面	c=1 d=0.737123 t=1786
you xi yu kuai 	遊戲愉快	c=1 d=0.726149 t=1786
you xiang 	huanglizhong@polyworks.com.cn	c=1 d=0.737123 t=1786
you xiang 	郵箱	c=1 d=0.740818 t=1786
you yong 	有用	c=1 d=0.718924 t=1786
yu 	於	c=1 d=0.197899 t=1786
yu feng xian 	於鳳賢	c=2 d=1.61327 t=1786
yu kuai 	愉快	c=1 d=0.701173 t=1786
yu men 	鬱悶	c=1 d=0.102284 t=1786
yu shu jun 	於淑君	c=3 d=1.58909 t=1786
yu yue 	預約	c=1 d=0.339596 t=1786
yuan 	遠	c=1 d=0.29523 t=1786
yuan lai 	原來	c=1 d=0.167797 t=1786
yuan ma 	源碼	c=2 d=0.728447 t=1786
yuan tou 	源頭	c=2 d=0.667427 t=1786
yuan yin 	原因	c=2 d=0.591555 t=1786
yun 	暈	c=1 d=0.272532 t=1786
zai 	再	c=6 d=1.0259 t=1786
zai 	在	c=2 d=1.49302 t=1786
zai nan 	災難	c=1 d=0.755784 t=1786
zai shuo 	再說	c=1 d=0.083527 t=1786
zai shuo shen me 	再說什麼	c=1 d=0.00031751 t=1786
zao cheng 	造成	c=1 d=0.941765 t=1786
zen me 	怎麼	c=4 d=0.52242 t=1786
zen me yang 	怎麼樣	c=3 d=0.367395 t=1786
zeng jia 	增加	c=3 d=1.51834 t=1786
zha 	炸	c=1 d=0.202909 t=1786
zhan 	站	c=1 d=0.895834 t=1786
zhan yi chu 	栈溢出	c=2 d=1.80544 t=1786
zhan zheng 	戰爭	c=1 d=0.0632918 t=1786
zhang 	長	c=1 d=0.621885 t=1786
zhe 	着	c=1 d=0.366045 t=1786
zhe 	這	c=2 d=0.904837 t=1786
zhe bian 	這邊	c=4 d=1.5455 t=1786
zhe chang 	這場	c=1 d=0.683861 t=1786
zhe ge 	這個	c=10 d=4.655 t=1786
zhe ge bao 	這個包	c=1 d=0.970446 t=1786
zhe ji tian 	這幾天	c=1 d=0.369723 t=1786
zhe me 	這麼	c=0 d=0.0891366 t=1786
zhe shi 	這是	c=2 d=0.301483 t=1786
zhe shi 	這時	c=1 d=0.12307 t=1786
zhe yang 	這樣	c=13 d=2.54567 t=1786
zhe zhong 	這種	c=2 d=0.188384 t=1786
zhen 	真	c=3 d=0.790571 t=1786
zhen bu gan 	真不敢	c=1 d=0.99005 t=1786
zhen dui 	針對	c=1 d=0.217621 t=1786
zheng chang 	正常	c=1 d=0.0689068 t=1786
zheng hao 	正好	c=1 d=0.431711 t=1786
zheng zai 	正在	c=1 d=0.463013 t=1786
zheng zhuang 	症狀	c=1 d=0.99005 t=1786
zhi 	ㄓ	c=2 d=1.86562 t=1786
zhi 	值	c=1 d=0.460704 t=1786
zhi 	指	c=1 d=0.0206508 t=1786
zhi 	支	c=1 d=0.0765355 t=1786
zhi bo 	直播	c=1 d=0.778801 t=1786
zhi chi 	支持	c=5 d=2.07613 t=1786
zhi dao 	知道	c=10 d=1.83739 t=1786
zhi jie 	直接	c=3 d=1.58942 t=1786
zhi lei 	之類	c=1 d=0.40657 t=1786
zhi liao 	治療	c=2 d=1.6624 t=1786
zhi nan 	指南	c=1 d=0.355226 t=1786
zhi neng 	只能	c=1 d=0.261846 t=1786
zhi neng 	智能	c=1 d=0.928031 t=1786
zhi shi 	只是	c=1 d=0.000332125 t=1786
zhi shi 	指示	c=1 d=0.055299 t=1786
zhi you 	只有	c=1 d=0.965605 t=1786
zhong 	中	c=6 d=3.14881 t=1786
zhong de 	中的	c=1 d=0.477114 t=1786
zhong en 	中恩	c=5 d=2.62633 t=1786
zhong ga ga 	中嘎嘎	c=1 d=0.771052 t=1786
zhong gen 	中跟	c=1 d=0.574072 t=1786
zhong gong 	中共	c=1 d=0.913931 t=1786
zhong guo 	中國	c=6 d=1.86298 t=1786
zhong guo li shi 	中國歷史	c=0 d=0.0744532 t=1786
zhong guo li shi ci hui da quan 	中國歷史詞彙大全	c=1 d=0.748264 t=1786
zhong hua ren min gong he guo 	中華人民共和國	c=2 d=1.88825 t=1786
zhong jiu 	終究	c=1 d=0.932394 t=1786
zhong kao 	中考	c=1 d=0.88692 t=1786
zhong wen 	中文	c=68 d=18.3525 t=1786
zhong wen en 	中文恩	c=2 d=1.13388 t=1786
zhong xin 	中心	c=1 d=0.904837 t=1786
zhong xin dian 	中心點	c=0 d=0.0913931 t=1786
zhong xin dian dui qi 	中心點對齊	c=2 d=1.84163 t=1786
zhong yao 	重要	c=3 d=0.760364 t=1786
zhong ying 	中英	c=1 d=0.603506 t=1786
zhong ying wen 	中英文	c=5 d=2.67396 t=1786
zhong zi 	種子	c=1 d=0.0611149 t=1786
zhu shi 	註釋	c=1 d=0.88692 t=1786
zhu tou 	🐗	c=1 d=0.960789 t=1786
zhu yao 	主要	c=1 d=0.285076 t=1786
zhu yao shi 	主要是	c=1 d=0.0205478 t=1786
zhuan ye 	專業	c=1 d=0.0593087 t=1786
zhuang bei 	裝備	c=1 d=0.396531 t=1786
zhuang tai 	狀態	c=1 d=0.798516 t=1786
zhui 	追	c=1 d=0.937067 t=1786
zhun bei 	準備	c=2 d=0.158025 t=1786
zi 	字	c=2 d=0.255381 t=1786
zi dai 	自帶	c=1 d=0.00951391 t=1786
zi di bing 	子弟兵	c=1 d=0.0212797 t=1786
zi dian 	字典	c=1 d=0.228779 t=1786
zi dong 	自動	c=4 d=2.7369 t=1786
zi fu 	字符	c=6 d=2.53198 t=1786
zi ji 	自己	c=2 d=0.328277 t=1786
zi mu 	字母	c=1 d=0.909373 t=1786
zi ran 	自然	c=1 d=0.247833 t=1786
zi ran ma 	自然碼	c=1 d=0.0645703 t=1786
zi se 	紫色	c=1 d=0.0461896 t=1786
zi ti 	字體	c=4 d=1.99501 t=1786
zi you 	自有	c=1 d=0.275271 t=1786
zou 	走	c=2 d=1.30103 t=1786
zui 	醉	c=1 d=0.852144 t=1786
zui jia 	最佳	c=0 d=0.0856415 t=1786
zui jia ni he 	最佳擬合	c=3 d=2.71864 t=1786
zui jia ni he ce liang dui xiang dui qi 	最佳擬合測量對象對齊	c=3 d=2.67412 t=1786
zui xin 	最新	c=3 d=1.78322 t=1786
zui xin ban ben 	最新版本	c=1 d=0.218712 t=1786
zuo 	做	c=2 d=0.475495 t=1786
zuo hao zhun bei 	做好準備	c=1 d=0.398519 t=1786
zuo tian 	昨天	c=1 d=0.97531 t=1786
